,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,faceoffWinPctRS,gamesPlayedRS,goalsAgainstRS,goalsAgainstPerGameRS,goalsForRS,goalsForPerGameRS,lossesRS,otLossesRS,penaltyKillNetPctRS,penaltyKillPctRS,pointPctRS,pointsRS,powerPlayNetPctRS,powerPlayPctRS,regulationAndOtWinsRS,shotsAgainstPerGameRS,shotsForPerGameRS,tiesRS,winsRS,winsInRegulationRS,winsInShootoutRS,playoffScore,last3PlayoffScore,last5PlayoffScore,winRateAgainst500Teams
0,0.535425,13,30,2.30769,38,2.92307,6,,0.863636,0.818182,0.53846,14,0.17647,0.196078,7,20002001,26.76923,28.07692,Buffalo Sabres,7,,7,4,0,0.5,82,184,2.2439,218,2.65853,30,1,0.898203,0.88024,0.59756,98,0.147453,0.160857,46,26.76829,26.87804,5.0,46,42,0,0.4375,0.0,0.0,0.12195121951219512
1,0.491155,13,34,2.61538,25,1.92307,6,,0.777777,0.777778,0.53846,14,0.12,0.12,7,20002001,27.84615,25.61538,Los Angeles Kings,26,,7,3,0,0.506862,82,228,2.78048,252,3.07317,28,3,0.848167,0.811519,0.56097,92,0.177111,0.19346,38,26.34146,27.90243,13.0,38,35,0,0.4375,0.0,0.0,0.12195121951219512
2,0.464799,18,44,2.44444,38,2.11111,9,,0.79452,0.780822,0.5,18,0.131147,0.180327,9,20002001,26.83333,23.55555,Pittsburgh Penguins,5,,9,6,0,0.46711,82,256,3.12195,281,3.42682,28,3,0.824691,0.807408,0.58536,96,0.173333,0.202666,42,29.2317,29.19512,9.0,42,39,0,0.5625,0.0,0.0,0.15853658536585366
3,0.569819,6,14,2.33333,10,1.66666,4,,0.761904,0.761905,0.33333,4,0.318181,0.318181,2,20002001,25.5,26.83333,Washington Capitals,15,,2,1,0,0.55173,82,211,2.57317,233,2.84146,27,4,0.856777,0.841433,0.58536,96,0.192634,0.212464,41,27.71951,28.63414,10.0,41,39,0,0.125,0.0,0.0,0.13414634146341464
4,0.495084,15,34,2.26666,40,2.66666,6,,0.921875,0.875,0.6,18,0.129032,0.145161,9,20002001,27.93333,32.66666,St. Louis Blues,19,,9,6,0,0.519139,82,195,2.37804,249,3.03658,22,5,0.89203,0.853471,0.62804,103,0.168831,0.187012,43,23.57317,30.41463,12.0,43,37,0,0.5625,0.0,0.0,0.06097560975609756
5,0.490304,11,24,2.18181,28,2.54545,4,,0.895833,0.875,0.63636,14,0.230769,0.230769,7,20002001,29.90909,22.45454,Toronto Maple Leafs,10,,7,5,0,0.528424,82,207,2.52439,232,2.82926,29,5,0.855191,0.849727,0.54878,90,0.135211,0.160563,37,27.36585,27.75609,11.0,37,34,0,0.4375,0.0,0.0,0.08536585365853659
6,0.517482,6,16,2.66666,13,2.16666,4,,0.846153,0.846154,0.33333,4,0.16129,0.16129,2,20002001,31.33333,25.33333,Edmonton Oilers,22,,2,1,0,0.510697,82,222,2.70731,243,2.96341,28,3,0.871727,0.837697,0.56707,93,0.13819,0.148241,39,26.08536,26.15853,12.0,39,34,0,0.125,0.0,0.0,0.13414634146341464
7,0.475138,25,52,2.08,69,2.76,10,,0.865384,0.836539,0.6,30,0.138613,0.158415,15,20002001,20.28,28.96,New Jersey Devils,1,,15,13,0,0.49382,82,195,2.37804,295,3.59756,19,3,0.875,0.846875,0.67682,111,0.209677,0.229032,48,24.68292,31.58536,12.0,48,43,0,0.9375,0.0,0.0,0.10975609756097561
8,0.484949,4,16,4.0,9,2.25,4,,0.736842,0.736843,0.0,0,0.25,0.25,0,20002001,29.0,22.0,Vancouver Canucks,23,,0,0,0,0.468586,82,238,2.90243,239,2.91463,28,7,0.839793,0.808786,0.54878,90,0.14423,0.170673,36,25.87804,29.68292,11.0,36,31,0,0.0,0.0,0.0,0.08536585365853659
9,0.450549,6,21,3.5,13,2.16666,4,,0.722222,0.666667,0.33333,4,0.235294,0.235294,2,20002001,30.33333,29.33333,Philadelphia Flyers,4,,2,2,0,0.503122,82,207,2.52439,240,2.92682,25,3,0.859872,0.824841,0.60975,100,0.131428,0.157142,43,26.14634,29.90243,11.0,43,38,0,0.125,0.0,0.0,0.13414634146341464
10,0.468677,6,16,2.66666,11,1.83333,4,,0.851851,0.814815,0.33333,4,-0.045454,0.0,2,20002001,30.5,26.83333,San Jose Sharks,28,,2,2,0,0.482568,82,192,2.34146,217,2.64634,27,3,0.879818,0.861679,0.57926,95,0.115763,0.140394,40,26.45121,27.64634,12.0,40,33,0,0.125,0.0,0.0,0.08536585365853659
11,0.501901,4,10,2.5,3,0.75,4,,0.76923,0.769231,0.0,0,0.0,0.0,0,20002001,24.75,30.75,Ottawa Senators,9,,0,0,0,0.485468,82,205,2.5,274,3.34146,21,4,0.891966,0.864266,0.66463,109,0.173228,0.186351,48,27.25609,30.19512,9.0,48,45,0,0.0,0.0,0.0,0.10975609756097561
12,0.530732,23,41,1.7826,69,3.0,7,,0.858695,0.858696,0.69565,32,0.181034,0.198275,16,20002001,27.04347,26.26086,Colorado Avalanche,21,,16,13,0,0.513365,82,192,2.34146,270,3.29268,16,4,0.859649,0.827486,0.71951,118,0.190082,0.220385,52,25.10975,29.20731,10.0,52,46,0,1.0,0.0,0.0,0.08536585365853659
13,0.498855,6,15,2.5,17,2.83333,4,,0.85,0.85,0.33333,4,0.333333,0.333333,2,20002001,26.33333,27.66666,Detroit Red Wings,17,,2,2,0,0.543606,82,202,2.46341,253,3.08536,20,4,0.883116,0.857143,0.67682,111,0.203125,0.221354,49,27.08536,32.31707,9.0,49,39,0,0.125,0.0,0.0,0.14634146341463414
14,0.504213,10,26,2.6,22,2.2,6,,0.87234,0.872341,0.4,8,0.093023,0.116279,4,20002001,27.8,30.0,Dallas Stars,25,,4,1,0,0.511645,82,187,2.28048,241,2.93902,24,2,0.88169,0.861972,0.64634,106,0.177111,0.196185,48,24.91463,25.60975,8.0,48,42,0,0.25,0.0,0.0,0.08536585365853659
15,0.555248,6,20,3.33333,8,1.33333,4,,0.916666,0.916667,0.33333,4,0.068965,0.103448,2,20002001,33.5,19.0,Carolina Hurricanes,12,,2,1,0,0.549375,82,225,2.7439,212,2.58536,32,3,0.888888,0.871795,0.53658,88,0.146596,0.188481,38,26.90243,27.03658,9.0,38,32,0,0.125,0.0,0.0,0.13414634146341464
16,0.496945,7,22,3.14285,21,3.0,4,,0.88372,0.883721,0.42857,6,0.289473,0.289473,3,20012002,30.71428,28.28571,New York Islanders,2,,3,3,0,0.516938,82,220,2.68292,239,2.91463,28,4,0.904371,0.857924,0.58536,96,0.134986,0.162534,42,27.86585,28.28048,8.0,42,36,0,0.1875,0.0,0.0,0.0975609756097561
17,0.460975,6,22,3.66666,16,2.66666,4,,0.72,0.72,0.33333,4,0.037037,0.148148,2,20012002,28.33333,24.5,Vancouver Canucks,23,,2,1,0,0.506705,82,211,2.57317,254,3.09756,30,3,0.860158,0.852243,0.57317,94,0.16129,0.185483,42,25.35365,28.36585,7.0,42,38,0,0.125,0.0,0.0,0.06097560975609756
18,0.503605,12,32,2.66666,34,2.83333,5,,0.895833,0.895834,0.58333,14,0.104166,0.104166,7,20012002,27.08333,26.91666,San Jose Sharks,28,,7,7,0,0.489577,82,199,2.42682,248,3.02439,27,3,0.897637,0.858268,0.60365,99,0.140921,0.157181,44,28.4756,27.17073,8.0,44,42,0,0.4375,0.125,0.125,0.12195121951219512
19,0.501877,12,39,3.25,32,2.66666,6,,0.770833,0.770834,0.5,12,0.145833,0.1875,6,20012002,36.08333,23.91666,Montréal Canadiens,8,,6,5,0,0.527971,82,209,2.54878,207,2.52439,31,3,0.888086,0.862816,0.53048,87,0.136212,0.149501,36,31.67073,25.51219,12.0,36,34,0,0.375,0.0,0.0,0.06097560975609756
20,0.538705,23,43,1.86956,47,2.04347,10,,0.854166,0.84375,0.56521,26,0.135922,0.155339,13,20012002,28.7826,28.04347,Carolina Hurricanes,12,,13,6,0,0.56068,82,217,2.64634,217,2.64634,26,5,0.849397,0.83735,0.55487,91,0.132992,0.161125,35,27.0,28.62195,16.0,35,29,0,0.8125,0.125,0.125,0.07317073170731707
21,0.501061,7,16,2.28571,13,1.85714,4,,0.923076,0.923077,0.42857,6,0.058823,0.058823,3,20012002,28.85714,25.14285,Los Angeles Kings,26,,3,2,0,0.512232,82,190,2.31707,214,2.60975,27,4,0.879781,0.866121,0.57926,95,0.189801,0.206798,40,25.01219,25.7317,11.0,40,37,0,0.1875,0.4375,0.4375,0.15853658536585366
22,0.520205,23,47,2.04347,72,3.13043,7,,0.932692,0.865385,0.69565,32,0.171717,0.191919,16,20012002,24.56521,29.86956,Detroit Red Wings,17,,16,14,0,0.513959,82,187,2.28048,251,3.06097,17,4,0.886297,0.860059,0.70731,116,0.183844,0.203342,51,26.32926,30.95121,10.0,51,41,0,1.0,0.125,0.125,0.17073170731707318
23,0.487031,21,56,2.66666,54,2.57142,10,,0.854838,0.854839,0.5238,22,0.103896,0.12987,11,20012002,28.04761,26.71428,Colorado Avalanche,21,,11,8,0,0.51428,82,169,2.06097,212,2.58536,28,1,0.892063,0.869842,0.60365,99,0.159883,0.180232,45,26.54878,27.46341,8.0,45,41,0,0.6875,1.0,1.0,0.13414634146341464
24,0.458438,6,20,3.33333,18,3.0,4,,0.851851,0.777778,0.33333,4,0.25,0.25,2,20012002,23.66666,35.33333,Boston Bruins,6,,2,2,0,0.47947,82,201,2.45121,236,2.87804,24,9,0.911174,0.871061,0.61585,101,0.120141,0.137809,43,25.08536,31.65853,6.0,43,34,0,0.125,0.0,0.0,0.06097560975609756
25,0.517338,20,49,2.45,44,2.2,10,,0.797979,0.79798,0.5,20,0.144444,0.144444,10,20012002,28.15,28.4,Toronto Maple Leafs,10,,10,9,0,0.518083,82,207,2.52439,249,3.03658,25,4,0.871951,0.844513,0.60975,100,0.137535,0.154727,43,24.92682,28.52439,10.0,43,40,0,0.625,0.4375,0.4375,0.12195121951219512
26,0.441807,12,18,1.5,29,2.41666,5,,0.853658,0.853659,0.58333,14,0.163636,0.163636,7,20012002,27.66666,29.16666,Ottawa Senators,9,,7,6,0,0.501123,82,208,2.53658,243,2.96341,27,7,0.879478,0.843649,0.57317,94,0.151057,0.166163,39,25.92682,30.10975,9.0,39,36,0,0.4375,0.0,0.0,0.14634146341463414
