,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,playoffScore,last5PlayoffScore,winRateAgainst500Teams
326,0.498855,6,15,2.5,17,2.83333,4,,0.85,0.85,0.33333,4,0.333333,0.333333,2,20002001,26.33333,27.66666,Detroit Red Wings,17,,2,2,0,0.125,0.0,0.14634146341463414
71,0.491155,13,34,2.61538,25,1.92307,6,,0.777777,0.777778,0.53846,14,0.12,0.12,7,20002001,27.84615,25.61538,Los Angeles Kings,26,,7,3,0,0.4375,0.0,0.12195121951219512
230,0.517482,6,16,2.66666,13,2.16666,4,,0.846153,0.846154,0.33333,4,0.16129,0.16129,2,20002001,31.33333,25.33333,Edmonton Oilers,22,,2,1,0,0.125,0.0,0.13414634146341464
222,0.490304,11,24,2.18181,28,2.54545,4,,0.895833,0.875,0.63636,14,0.230769,0.230769,7,20002001,29.90909,22.45454,Toronto Maple Leafs,10,,7,5,0,0.4375,0.0,0.08536585365853659
298,0.530732,23,41,1.7826,69,3.0,7,,0.858695,0.858696,0.69565,32,0.181034,0.198275,16,20002001,27.04347,26.26086,Colorado Avalanche,21,,16,13,0,1.0,0.0,0.08536585365853659
14,0.475138,25,52,2.08,69,2.76,10,,0.865384,0.836539,0.6,30,0.138613,0.158415,15,20002001,20.28,28.96,New Jersey Devils,1,,15,13,0,0.9375,0.0,0.10975609756097561
193,0.495084,15,34,2.26666,40,2.66666,6,,0.921875,0.875,0.6,18,0.129032,0.145161,9,20002001,27.93333,32.66666,St. Louis Blues,19,,9,6,0,0.5625,0.0,0.06097560975609756
260,0.450549,6,21,3.5,13,2.16666,4,,0.722222,0.666667,0.33333,4,0.235294,0.235294,2,20002001,30.33333,29.33333,Philadelphia Flyers,4,,2,2,0,0.125,0.0,0.13414634146341464
261,0.484949,4,16,4.0,9,2.25,4,,0.736842,0.736843,0.0,0,0.25,0.25,0,20002001,29.0,22.0,Vancouver Canucks,23,,0,0,0,0.0,0.0,0.08536585365853659
355,0.555248,6,20,3.33333,8,1.33333,4,,0.916666,0.916667,0.33333,4,0.068965,0.103448,2,20002001,33.5,19.0,Carolina Hurricanes,12,,2,1,0,0.125,0.0,0.13414634146341464
148,0.569819,6,14,2.33333,10,1.66666,4,,0.761904,0.761905,0.33333,4,0.318181,0.318181,2,20002001,25.5,26.83333,Washington Capitals,15,,2,1,0,0.125,0.0,0.13414634146341464
363,0.535425,13,30,2.30769,38,2.92307,6,,0.863636,0.818182,0.53846,14,0.17647,0.196078,7,20002001,26.76923,28.07692,Buffalo Sabres,7,,7,4,0,0.4375,0.0,0.12195121951219512
365,0.501901,4,10,2.5,3,0.75,4,,0.76923,0.769231,0.0,0,0.0,0.0,0,20002001,24.75,30.75,Ottawa Senators,9,,0,0,0,0.0,0.0,0.10975609756097561
94,0.468677,6,16,2.66666,11,1.83333,4,,0.851851,0.814815,0.33333,4,-0.045454,0.0,2,20002001,30.5,26.83333,San Jose Sharks,28,,2,2,0,0.125,0.0,0.08536585365853659
75,0.464799,18,44,2.44444,38,2.11111,9,,0.79452,0.780822,0.5,18,0.131147,0.180327,9,20002001,26.83333,23.55555,Pittsburgh Penguins,5,,9,6,0,0.5625,0.0,0.15853658536585366
354,0.504213,10,26,2.6,22,2.2,6,,0.87234,0.872341,0.4,8,0.093023,0.116279,4,20002001,27.8,30.0,Dallas Stars,25,,4,1,0,0.25,0.0,0.08536585365853659
165,0.538705,23,43,1.86956,47,2.04347,10,,0.854166,0.84375,0.56521,26,0.135922,0.155339,13,20012002,28.7826,28.04347,Carolina Hurricanes,12,,13,6,0,0.8125,0.125,0.07317073170731707
185,0.497175,5,13,2.6,7,1.4,4,,0.925925,0.925926,0.2,2,0.04,0.04,1,20012002,26.6,26.8,Phoenix Coyotes,27,,1,1,0,0.0625,0.0,0.10975609756097561
196,0.501061,7,16,2.28571,13,1.85714,4,,0.923076,0.923077,0.42857,6,0.058823,0.058823,3,20012002,28.85714,25.14285,Los Angeles Kings,26,,3,2,0,0.1875,0.4375,0.15853658536585366
135,0.503605,12,32,2.66666,34,2.83333,5,,0.895833,0.895834,0.58333,14,0.104166,0.104166,7,20012002,27.08333,26.91666,San Jose Sharks,28,,7,7,0,0.4375,0.125,0.12195121951219512
32,0.467455,5,13,2.6,5,1.0,4,,0.75,0.75,0.2,2,0.0,0.058823,1,20012002,27.8,24.2,Chicago Blackhawks,16,,1,1,0,0.0625,0.0,0.15853658536585366
246,0.501449,10,19,1.9,24,2.4,5,,0.928571,0.880953,0.5,10,0.177777,0.2,5,20012002,25.3,26.9,St. Louis Blues,19,,5,5,0,0.3125,0.5625,0.13414634146341464
187,0.446601,6,9,1.5,11,1.83333,4,,0.857142,0.809524,0.33333,4,0.214285,0.214285,2,20012002,24.16666,32.83333,New Jersey Devils,1,,2,2,0,0.125,0.9375,0.13414634146341464
237,0.487031,21,56,2.66666,54,2.57142,10,,0.854838,0.854839,0.5238,22,0.103896,0.12987,11,20012002,28.04761,26.71428,Colorado Avalanche,21,,11,8,0,0.6875,1.0,0.13414634146341464
68,0.517338,20,49,2.45,44,2.2,10,,0.797979,0.79798,0.5,20,0.144444,0.144444,10,20012002,28.15,28.4,Toronto Maple Leafs,10,,10,9,0,0.625,0.4375,0.12195121951219512
318,0.458438,6,20,3.33333,18,3.0,4,,0.851851,0.777778,0.33333,4,0.25,0.25,2,20012002,23.66666,35.33333,Boston Bruins,6,,2,2,0,0.125,0.0,0.06097560975609756
351,0.460975,6,22,3.66666,16,2.66666,4,,0.72,0.72,0.33333,4,0.037037,0.148148,2,20012002,28.33333,24.5,Vancouver Canucks,23,,2,1,0,0.125,0.0,0.06097560975609756
287,0.520205,23,47,2.04347,72,3.13043,7,,0.932692,0.865385,0.69565,32,0.171717,0.191919,16,20012002,24.56521,29.86956,Detroit Red Wings,17,,16,14,0,1.0,0.125,0.17073170731707318
349,0.501877,12,39,3.25,32,2.66666,6,,0.770833,0.770834,0.5,12,0.145833,0.1875,6,20012002,36.08333,23.91666,Montréal Canadiens,8,,6,5,0,0.375,0.0,0.06097560975609756
267,0.496945,7,22,3.14285,21,3.0,4,,0.88372,0.883721,0.42857,6,0.289473,0.289473,3,20012002,30.71428,28.28571,New York Islanders,2,,3,3,0,0.1875,0.0,0.0975609756097561
1,0.539509,5,11,2.2,2,0.4,4,,0.833333,0.833334,0.2,2,0.0625,0.0625,1,20012002,28.8,27.4,Philadelphia Flyers,4,,1,0,0,0.0625,0.125,0.10975609756097561
274,0.441807,12,18,1.5,29,2.41666,5,,0.853658,0.853659,0.58333,14,0.163636,0.163636,7,20012002,27.66666,29.16666,Ottawa Senators,9,,7,6,0,0.4375,0.0,0.14634146341463414
50,0.537634,7,16,2.28571,17,2.42857,4,,0.75862,0.758621,0.42857,6,0.115384,0.153846,3,20022003,25.28571,29.28571,Colorado Avalanche,21,,3,3,0,0.1875,1.6875,0.12195121951219512
49,0.540045,6,14,2.33333,15,2.5,4,,0.851851,0.851852,0.33333,4,0.148148,0.185185,2,20022003,32.0,29.83333,Washington Capitals,15,,2,2,0,0.125,0.125,0.06097560975609756
93,0.513931,5,13,2.6,8,1.6,4,,0.863636,0.863637,0.2,2,0.166666,0.166666,1,20022003,27.2,28.0,Boston Bruins,6,,1,1,0,0.0625,0.125,0.0975609756097561
90,0.508456,13,33,2.53846,34,2.61538,7,,0.84,0.82,0.46153,12,0.02,0.1,6,20022003,27.23076,32.0,Philadelphia Flyers,4,,6,5,0,0.375,0.1875,0.0975609756097561
99,0.548812,21,40,1.90476,45,2.14285,6,,0.914285,0.871429,0.71428,30,0.1,0.114285,15,20022003,33.5238,26.95238,Anaheim Ducks,24,,15,8,0,0.9375,0.0,0.10975609756097561
